data_source,f_1,kappa,sigma,xi
ATHENS all,0.17395727365208546,0.96257027067824,5.654829510953139,0.2420377982150716
ATHENS spring,0.14056224899598393,1.0380137980912563,6.01540387349195,0.21588120926275164
ATHENS summer,0.030303030303030304,0.9944259206072561,16.598727727061114,0.008805545704148404
ATHENS autumn,0.21354166666666666,0.8625786282896547,5.357272739105636,-0.05617977534152288
ATHENS winter,0.2052910052910053,0.8800540313240426,5.362098342656764,-0.012575923617535902
BARCELONA all,0.18087318087318088,0.9439985493087448,6.276884367182282,0.19748611314051517
BARCELONA spring,0.1529255319148936,1.0579792763122855,6.161902562389334,0.20825010817127534
BARCELONA summer,0.05177993527508091,1.0656370419561452,16.514498215516422,-0.046925598764011194
BARCELONA autumn,0.19977298524404086,0.9039564297613275,5.545153880755867,0.011479724079174879
BARCELONA winter,0.2277542372881356,0.8926923788033744,5.279910151383078,0.001285340303412783
LISBON all,0.17246175243393602,0.9913430867812437,5.617965000667927,0.257840202287769
LISBON spring,0.1395045632333768,1.1489454339990053,5.174702171423839,0.25972238867990405
LISBON summer,0.04332129963898917,0.9978878706437577,18.533754934649238,-0.002028330092964052
LISBON autumn,0.20990312163616792,0.9022384726635929,5.608626572703341,-0.04645208333605771
LISBON winter,0.20155038759689922,0.8513240314782508,5.732667776613305,-0.031076107583535958
MARSEILLE all,0.17698226831716293,0.9573152147825615,5.7699297895905834,0.21442645723100012
MARSEILLE spring,0.14927344782034346,1.006665758140523,6.486093871870466,0.16174791354656437
MARSEILLE summer,0.075,1.0314872701944726,16.32296146297287,-0.0248755179583208
MARSEILLE autumn,0.21047120418848167,0.9473636729916909,4.844317064995232,-0.025993273087773536
MARSEILLE winter,0.19958202716823406,0.8526218149486331,5.398755532456045,0.009890042050087455
ROME all,0.17628971643320807,0.9916120104338509,5.559818478572846,0.2488810578988548
ROME spring,0.17654476670870115,1.089582951013028,6.026872300994964,0.22916607549518928
ROME summer,0.0449438202247191,1.0130524673113253,18.854176926287135,-0.043238361576954015
ROME autumn,0.1937901498929336,0.9034749124928839,5.318489052832099,-0.0760750475525039
ROME winter,0.19614147909967847,0.8700307591812666,5.562581155979642,-0.05718009843232955
